source,page,type,text
Chang and Fosler-Lussier - 2023 - How to Prompt LLMs for Text-to-SQL A Study in Zer.pdf,1,page,"How to Prompt LLMs for Text-to-SQL: A Study in Zero-shot, Single-domain, and Cross-domain Settings Shuaichen Chang and Eric Fosler-Lussier The Ohio State University {chang.1692, fosler-lussier.1}@osu.edu Abstract Large language models (LLMs) with in-context learning have demonstrated remarkable ca- pability in the text-to-SQL task. Previous research has prompted LLMs with various demonstration-retrieval strategies and interme- diate reasoning steps to enhance the perfor- mance of LLMs. However, those works of- ten employ varied strategies when constructing the prompt text for text-to-SQL inputs, such as databases and demonstration examples. This leads to a lack of comparability in both the prompt constructions and their primary contri- butions. Furthermore, selecting an effective prompt construction has emerged as a persis- tent problem for future research. To address this limitation, we comprehensively investigate the impact of prompt constructions across var- ious settings and provide insights into prompt constructions for future text-to-SQL studies. 1 1 Introduction Text-to-SQL models enable users to query databases using natural language questions (NLQs) without having to develop the underlying SQL query. Over the past few decades, neural models with supervised learning have achieved impressive performance on the text-to-SQL task, which are usually trained on a large training set and then eval- uated on test examples (Wang et al., 2019; Yu et al., 2021; Rubin and Berant, 2021; Scholak et al., 2021; Gan et al., 2021; Li et al., 2023a). Recently, large language models (LLMs) have demonstrated strong capabilities for in-context learning on many language understanding and gen- eration tasks (Brown et al., 2020; Chen et al., 2021a; Chowdhery et al., 2022), including on the text-to-SQL task (Rajkumar et al., 2022; Chang et al., 2023; Liu et al., 2023). Instead of train- ing a text-to-SQL model on a large training set, 1The code for the paper is available at https://github. com/shuaichenchang/prompt-text-to-sql . Database CREATE TABLE Highschooler ( ID int primary key , name text , grade int ); /* 3 example rows : SELECT * FROM Highschooler LIMIT 3; ID name grade 1510 Jordan 9 1689 Gabriel 9 1381 Tiffany 9 */ Task Instruction -- Using valid SQLite , answer the following questions for the tables provided above . Demonstration Question : What is Kyle 's id? SELECT ID FROM Highschooler WHERE name = "" Kyle ""; Test Question Question : How many high schoolers are there ? SELECT Figure 1: An example of prompt text for 1-shot single- domain text-to-SQL using a snippet of the database Network_1 with a question from the Spider dataset (Yu et al., 2018). in-context learning allows LLMs to convert a test NLQ into a SQL query using a prompt text. This prompt text includes essential components such as the test database and question. These are accompanied by zero or a few demonstrations: NLQ-SQL pairs corresponding to either the test database (single-domain) or different databases (cross-domain). Figure 1 provides an example of a prompt text for a one-shot single-domain task. Previous research has augmented the text-to- SQL capability of LLMs with demonstration- retrieval strategies (Poesia et al., 2022; Shi et al., 2022), intermediate reasoning steps (Cheng et al., 2022; Chen et al., 2023; Pourreza and Rafiei, 2023), and self-debugging ability (Chen et al., 2023; Pour- reza and Rafiei, 2023). However, those studies of- ten employ different prompt strategies that include various key components of text-to-SQL: database arXiv:2305.11853v3 [cs.CL] 27 Nov 2023"
Chang and Fosler-Lussier - 2023 - How to Prompt LLMs for Text-to-SQL A Study in Zer.pdf,71,caption,Figure 1: An example of prompt text for 1-shot single-
Chang and Fosler-Lussier - 2023 - How to Prompt LLMs for Text-to-SQL A Study in Zer.pdf,2,page,"schema and content, and demonstration examples. The difference in prompt constructions makes it difficult to directly compare two studies on their main contribution, and the outcomes of different studies may change based on future revelations in prompt engineering. In this paper, we evaluate various strategies for prompt construction in three commonly employed text-to-SQL settings: zero-shot, single-domain, and cross-domain. We assess LLMs on text-to- SQL, considering various database prompt con- structions in all three settings. Additionally, in the cross-domain scenario, we investigate the strategy for constructing demonstrations. Through our eval- uation, we aim to gain insights into the effective- ness of these prompt construction strategies. Our findings can be summarized as follows: • Table relationship and table content play a crucial role in effectively prompting LLMs. However, it is essential to carefully consider their repre- sentation in the prompt, as LLMs are sensitive to the specific presentation in the zero-shot and cross-domain settings. • In-domain demonstration examples can mitigate LLMs’ sensitivity to different representations of database knowledge but they cannot replace table content knowledge. • The length of the prompt has a significant impact on the LLMs’ performance in the cross-domain setting. We discovered a preferred prompt length that leads to improved performance. 2 In-context Learning for Text-to-SQL In the text-to-SQL task, a database and a natural language question (NLQ) are provided as input for generating an output SQL query. Traditional supervised learning approaches train models on specific text-to-SQL datasets. However, in-context learning allows pretrained large language models (LLMs) to perform text-to-SQL by providing either zero or a few training examples (NLQ-SQL pairs) as demonstrations. This section introduces three widely used settings for in-context learning in text- to-SQL. Prompt examples in these settings can be found in Appendix A.1. Zero-shot Text-to-SQL This setting evaluates the text-to-SQL capability of pretrained LLMs to directly infer the NLQ-SQL relationship from a table without any demonstration examples. The input includes a task instruction and a test question with its corresponding database. Zero-shot text- to-SQL is used to directly assess the text-to-SQL capability of LLMs (Rajkumar et al., 2022; Chang et al., 2023; Liu et al., 2023). Single-domain Few-shot Text-to-SQL This set- ting is designed for applications or domains where it is easy to construct examples, such as booking flights (Price, 1990; Dahl et al., 1994) and querying geographic information (Zelle and Mooney, 1996). It tests the ability of LLMs to adapt with a few in-domain demonstration examples, which are col- lected from the same database as the test question. The goal is to evaluate how well the LLMs can per- form text-to-SQL with minimal in-domain training data (Rajkumar et al., 2022). Cross-domain Few-shot Text-to-SQL This set- ting evaluates the generalization capability of mod- els to new domains by learning from out-of-domain demonstrations. In this scenario, the demonstra- tion NLQ-SQL pairs correspond to one or multiple demonstration databases that are different from the test database. Cross-domain few-shot text-to-SQL assesses how well LLMs can apply their learned knowledge from demonstrations to new databases (Poesia et al., 2022; Chen et al., 2023). 3 Prompt Construction A text-to-SQL prompt typically comprises four components: a task instruction, a test database, a test NLQ, and optional demonstrations, as il- lustrated in Figure 1. While the task instruction and test NLQ are easily presented in natural lan- guage, there are various strategies for representing the databases and incorporating demonstrations. In this section, we explore different prompt construc- tions for databases and demonstrations. 3.1 Database Prompt A relational database consists of the database schema and database content. The database schema encompasses the schemas (headers) of tables and the relationship among tables, and database content refers to the data stored in the tables. Database Schema Figure 2 illustrates various prompt constructions for the database schema that have been utilized in previous studies: (1) Table(Columns) (Liu et al., 2023) lists each table along with its columns inside parentheses to repre- sent the table schemas; (2) Columns=[] (Pourreza and Rafiei, 2023) represents each table along with"
Chang and Fosler-Lussier - 2023 - How to Prompt LLMs for Text-to-SQL A Study in Zer.pdf,3,page,"Table(Columns) (Liu et al., 2023) Highschooler (ID , name , grade ); Friend ( student_id , friend_id ); Columns=[] (Pourreza and Rafiei, 2023) Table Highschooler , Columns = [ID , name , grade ]; Table Friend , Columns = [ student_id , friend_id ]; +FK (Pourreza and Rafiei, 2023) Foreign_keys = [ Friend . student_id = Highschooler .ID , Friend . friend_id = Highschooler .ID ]; CreateTable (Rajkumar et al., 2022) CREATE TABLE Highschooler ( ID int primary key , name text , grade int ); CREATE TABLE Friend ( student_id int , friend_id int , primary key ( student_id , friend_id ), foreign key ( student_id ) references Highschooler (ID), foreign key ( friend_id ) references Highschooler (ID) ); Figure 2: Examples of the different database schema constructions for a snippet of database Network_1 in Spider. a list of its columns using an equation-like notation; (3) +ForeignKey (Pourreza and Rafiei, 2023) fur- ther adds foreign keys to indicate the relationships between tables; (4) CreateTable (Rajkumar et al., 2022) employed the “Create Table” statement to display the table schemas and relationships. To ensure consistency in the prompt text and accommodate the case-insensitivity of SQL key- words and the database schema, we unify the space and line break in the prompt text and convert all words to lowercase, except for the database content. This normalization process helps to standardize the prompt text. An example is shown in Figure 4. Database content Previous research shows that being aware of database content can improve model performance by exposing models to the specific format of values in each column (Wang et al., 2019; Lin et al., 2020; Scholak et al., 2021; Rajkumar et al., 2022). For instance, the phrase “American student” could be converted to “ WHERE country = ‘USA’” or “ WHERE country = ‘The United States of America’” depending on the contents of the country column. Figure 3 summarizes different approaches used to construct prompts for showcasing the content of a database. (1) InsertRow (Chen et al., 2023): InsertRow (Chen et al., 2023) INSERT INTO Highschooler (ID , name , grade ) VALUES (1510 , "" Jordan "", 9); INSERT INTO Highschooler (ID , name , grade ) VALUES (1689 , "" Gabriel "", 9); INSERT INTO Highschooler (ID , name , grade ) VALUES (1381 , "" Tiffany "", 9); SelectRow (Rajkumar et al., 2022) /* 3 example rows : SELECT * FROM Highschooler LIMIT 3; ID name grade 1510 Jordan 9 1689 Gabriel 9 1381 Tiffany 9 */ SelectCol (Ours) /* Columns in Highschooler and 3 distinct examples in each column : ID: 1025 , 1101 , 1247 name : "" Jordan "", "" Gabriel "", "" Tiffany "" grade : 9, 10 , 11 */ Figure 3: Examples of the different database content constructions for showing 3 cell values in each column for the Highschool table in Figure 2. This method displaysR rows of each table by utiliz- ing R “INSERT INTO” statements. (2) SelectRow (Rajkumar et al., 2022): This approach employs the “SELECT * FROM Table LIMIT R” query to display the first R rows of each table. (3) SelectCol: In- stead of presenting table content in a row-wise man- ner, an alternative method is to use a column-wise format. As there may be duplicated content across different rows, presenting the content column-wise ensures the provision of distinct values within each column to expose LLMs to a broader range of content. We propose using the query “ SELECT DISTINCT [Column] FROM [Table] LIMIT R ” to list R distinct cell values in each column. 3.2 Demonstration Prompt In few-shot settings, LLMs are provided with demonstrations within the prompt text. In the single-domain few-shot setting, we incorporate a few pairs of NLQs and SQLs as demonstrations inserted between the test database and question, following previous work (Rajkumar et al., 2022). In the cross-domain few-shot setting, we use both out-of-domain NLQ-SQL pairs (demonstration ex- amples) and corresponding databases (demonstra- tion databases) placed before the test database and question. Prior research in the N-shot setting either uses one demonstration database with N examples (Pourreza and Rafiei, 2023) or employs N demon- stration databases, each with a single NLQ-SQL"
Chang and Fosler-Lussier - 2023 - How to Prompt LLMs for Text-to-SQL A Study in Zer.pdf,28,caption,Figure 2: Examples of the different database schema
Chang and Fosler-Lussier - 2023 - How to Prompt LLMs for Text-to-SQL A Study in Zer.pdf,54,caption,Figure 3 summarizes different approaches used
Chang and Fosler-Lussier - 2023 - How to Prompt LLMs for Text-to-SQL A Study in Zer.pdf,81,caption,Figure 3: Examples of the different database content
Chang and Fosler-Lussier - 2023 - How to Prompt LLMs for Text-to-SQL A Study in Zer.pdf,4,page,"Unnormalized database and SQL -- Database Schema CREATE TABLE Highschooler ( ID int primary key , name text , grade int ); -- SQL Query SELECT count ( * ) FROM Highschooler WHERE Name = "" Kyle ""; Normalized database and SQL -- Database Schema create table highschooler ( id int primary key , name text , grade int ); -- SQL Query select count (*) from highschooler where name = 'Kyle '; Figure 4: An example of the normalization for database and SQL prompts. pair (Poesia et al., 2022; Chen et al., 2023). In con- trast, we consider a more general scenario where the demonstrations comprise M databases, each with K NLQ-SQL pairs, with M × K = N. We list the examples of 4-shot single-domain and cross- domain demonstrations in Appendix A.1. Additionally, we normalize demonstration SQL queries by first parsing the SQL queries and unify- ing their format, such as using lowercase for SQL keywords and database schema and unifying the space around punctuation. Figure 4 provides an example of SQL normalization. 4 Experiments Data & Evaluation For our experiments, we uti- lize the Spider dataset (Yu et al., 2018), a cross- domain benchmark for the text-to-SQL task. We conduct our experiments on the development set of Spider (Spider-dev) as the test set is not publicly available. Spider-dev consists of 20 databases with 1034 pairs of NLQ and SQL in total. We evaluate models with execution accuracy (EX) which com- pares the execution results of a predicted SQL and a gold SQL. In the cross-domain setting, we use the train- ing set of Spider to select demonstration exam- ples. As a few databases contain long schema that may cause the prompt to exceed the token limits of LLMs, we only use the databases with fewer than 1000 tokens when constructing the CreateTable prompt. This results in a total of 130 databases being used as demonstration databases in the cross- domain setting. Models We used GPT-3 Codex (Chen et al., 2021a) and ChatGPT due to their demonstrated performance and prevalence in the field.2 Experiment Setup For the zero-shot setting, we construct each prompt text with a task instruction, a test database, and a test question. We include R = 3 table rows in the database prompt, which has been discovered as the optimal number in previ- ous work (Rajkumar et al., 2022). For the few-shot settings, we incorporate N demonstration exam- ples in addition to the zero-shot prompt text. In the single-domain text-to-SQL scenario, we use a leave-one-out split, as some databases in Spider-dev contain a small number of examples. When evaluating one example, we regard all other examples from the same database as the training set and randomly retrieve N examples from them. Since Spider contains multiple NLQs correspond- ing to the same SQL query, we require that the train- ing set does not contain examples with the same SQL template as the test example, again following previous work (Finegan-Dollak et al., 2018). In the cross-domain scenario, we randomly se- lect M demonstration databases, each with K NLQ-SQL pairs (M × K = N) from the Spider training set. Incorporating multiple demonstration databases in a prompt text significantly increases its length. Hence, we only use Codex for the cross- domain experiments, due to its higher token limit of 8K, surpassing the 4K limit of ChatGPT. In both single-domain and cross-domain settings, we com- pare different prompt construction methods using the same few-shot examples to make a fair compar- ison. We repeat our experiments three times and present the average results. 5 Results In this section, we present our empirical findings in the areas of zero-shot, single-domain, and cross- domain text-to-SQL. Through our experiments, we aim to answer a few crucial research questions in each setting and provide insightful strategies for future studies on effective prompting. 5.1 Zero-shot Text-to-SQL In the zero-shot setting, we focus on comparing different prompt constructions for databases. Table 2We employ the Code-davinci-002 version of Codex across all settings. In zero-shot and single-domain setups, we uti- lize the gpt-3.5-turbo-0301 version of ChatGPT. For cross- domain experiments involving ChatGPT-16K, we turned to gpt-3.5-turbo-16k-0613 due to its extended context length."
Chang and Fosler-Lussier - 2023 - How to Prompt LLMs for Text-to-SQL A Study in Zer.pdf,20,caption,Figure 4: An example of the normalization for database
Chang and Fosler-Lussier - 2023 - How to Prompt LLMs for Text-to-SQL A Study in Zer.pdf,5,page,"Codex ChatGPT Database Prompt Construction # Tokens (U|N) EX (U|N) # Tokens (U|N) EX (U|N) Table Schema Table(Columns) 148 | 147 69.0 | 71.9 118 | 115 68.8 | 70.5 Columns=[] 169 | 167 70.2 | 71.8 137 | 135 68.3 | 69.1 +Relationship Columns=[]+ForeignKey 226 | 223 72.3 | 73.1 178 | 174 72.9 | 71.2 CreateTable 474 | 356 71.8 | 73.1 339 | 254 70.7 | 71.7 +Relationship+Content CreateTable+InsertRow 3 1089 | 1013 70.9 | 71.9 964 | 872 71.8 | 71.8 CreateTable+SelectRow 3 820 | 770 73.3 | 74.1 761 | 674 71.8 | 72.1 CreateTable+SelectCol 3 958 | 831 75.0 | 75.7 799 | 712 73.3 | 73.6 Table 1: Zero-shot results of Codex and ChatGPT using different database prompt constructions. Table Schema (upper part) contains prompts that solely include the schema of tables, while +Relationship (middle part) incor- porates foreign keys as the table relationships and +Relationship+Content (lower part) adds table content as well. # Tokens is the average token counts in the prompts and EX represents the execution accuracy of SQLs. U|N represents the results of unnormalized prompts and normalized prompts, respectively. The underlines highlight the lower number of tokens and higher accuracies when comparing unnormalized and normalized prompts and the highest accuracy achieved among all prompts is highlighted in bold. 1 shows the average prompt length and execution accuracy of Codex and ChatGPT using various database prompt constructions. Q1: How does normalized database prompt perform compared to unnormalized ones? Nor- malized schemas are found to have a reduced to- ken count in comparison to unnormalized schemas across all database constructions. The normaliza- tion also tends to yield slightly better performance. As for Codex, normalized schemas show improve- ment in all prompts. For ChatGPT, normalized schemas either improve accuracy or achieve the same accuracy or achieve the same level of accu- racy as unnormalized schemas in 6 out of 7 schema constructions. The tests of statistical significance are presented in Appendix A.2. Q2: What database knowledge is crucial for effectively prompting LLMs? Our experiments indicate that table relationships and content are im- portant. The Columns=[] prompt includes only the table schema, while the Columns=[]+ForeignKey prompt contains the additional relationship among tables shown as foreign keys. Including such information improves the performance of both Codex (71.8 -> 73.1) and ChatGPT (69.1 -> 71.2). Moveover, exposing LLMs to database content with the SelectRow and SelectCol prompts fur- ther enhances the performance of both Codex and ChatGPT, while the InsertRow prompt does not seem to be beneficial. We believe that database content is valuable, but its representation needs to be carefully chosen. Q3: How does Codex perform compared to ChatGPT? While we do not focus on comparing different LLMs on the text-to-SQL tasks in this paper, it is worth noting that Codex consistently outperforms ChatGPT on zero-shot text-to-SQL using various prompt constructions. Based on all the findings above, we would recom- mend using Codex in conjunction with normalized CreateTableSelectCol prompt construction for zero-shot text-to-SQL.3 5.2 Single-domain Text-to-SQL In the zero-shot text-to-SQL setting, we discovered that the prompt constructions of databases impact the performance of LLMs. This discovery naturally raises the question of whether the introduction of in-domain demonstrations affects the performance of LLMs to different database prompts. Q1: Does the use of in-domain demonstrations enhance LLM’s performance? Figure 5 depicts the performance of Codex and ChatGPT using dif- ferent database prompt constructions with respect to different numbers of in-domain demonstration examples. For all database prompts, the perfor- mance of LLMs experiences a notable improve- ment when in-domain examples are presented. Fur- thermore, the performance continues to enhance as the number of in-domain examples increases. Q2: What database knowledge is important when presenting in-domain demonstrations? While we have observed that the presence of table 3To simplify our experiments and ensure consistent prompts, we adopt normalization for single-domain and cross- domain experiments."
